"customer_id","credit_card_number","maximum_limit"
fd1266f1-cb78-4a65-8717-739a3b895863,"5031 9467 5978 2983",44871
fc1946af-c079-48a5-881e-7ec2e5b13b09,"9451 5862 1844 8216",19212
"85651fff-4397-4a9c-afba-943b69ef76dc","1037 7145 2914 6225",39778
c4c7ae67-e0f8-415a-a022-9bc2eaae6376,"8576 5043 7543 5550",29755
c08bdd37-b284-42f3-9622-91b9764257f9,"3988 4759 9517 9146",36916
fd8edf9c-4791-425b-9be1-ce9175b90c07,"3421 9656 1688 9336",32969
f5c25360-7dd0-4b52-a6fd-20a9e8c4e01f,"4754 6363 4306 8107",20776
e6cfb60f-ab7f-46b2-93eb-098849274ed4,"4358 4310 1808 2318",36845
b36e6be0-7396-4e5a-af95-fb7e542b5a8e,"5174 6702 6081 9318",42662
fc2d0e0d-505e-4d34-8742-4a335722e59d,"8513 1717 9379 5496",44193
d987423d-7a2e-4c77-9ae7-cf7b0c8e9c0a,"5963 9980 5509 5384",48888
edd54fad-2067-42e9-8263-258ebcf93ada,"8591 9441 2604 1374",32467
"66e18118-cb07-4c3c-a7db-362f50bbdb95","5198 1258 5564 3497",14756
"7256be50-3243-4a6e-8ff3-a0d83a0ff6e6","6592 6740 5543 8700",28891
f9363f85-eb7f-4d92-afe8-285fcfd0d6da,"6146 5641 4076 1474",13834
"83b55a23-21b1-465c-b3c0-f2787c98ad30","4119 7523 6785 7143",48968
ea394886-cbdb-4d80-a9ce-6ecba1cec7b4,"7922 5172 5940 7250",34987
e1cd9bbc-0a4b-4894-9193-26402fd3de51,"3588 1460 6124 4223",32062
b6bbfd2d-eeff-492a-9c7b-42b2ef58545c,"2999 1675 2389 8063",11888
ff2a73cd-06fe-4eee-b737-f8bb094ec00d,"2406 6715 6269 4560",29836
d7025a2f-e42d-489c-a145-a20b0672f3d7,"4322 5972 4589 4887",26103
e33be00a-4cfb-4748-bfc4-7e8e6fde0866,"3391 6102 1667 9847",32192
e64c6b0c-a2bb-4f8a-b987-14ec8a2aa5d8,"9841 7006 4960 8715",39541
"76a19f05-c1bc-4a21-9b01-e6636a96d51a","7931 7510 4703 7933",47693
cff25a35-0a28-4d22-b4c3-fcbc002e441b,"2577 6830 5654 2065",39305
fb3a78b2-939c-44eb-8633-f990a12b13ae,"7836 8587 6086 5596",26431
d5393417-556f-46ec-aea6-e7a07e75b3a7,"1231 1635 8751 6050",19797
e72fad36-790a-45df-a14d-19c15363c4d6,"7150 2404 1379 4092",15191
c9480cdd-6e50-4838-8501-7c4bffc22d09,"7798 6404 6808 8690",20711
d4dd97ad-6bbf-4150-bce3-754fb82c24ea,"1555 5547 5128 5637",42442
f681b303-5a08-48a8-98f2-77a33d71ee9d,"3843 2603 4307 8507",32654
f8ecde43-16f6-4707-8e7e-1a18db1b9494,"3494 4475 3133 2389",20430
ef201e45-2d07-499d-9c30-4826565b425a,"5669 9393 1456 3389",23416
"88020d00-65fd-4450-80c9-ec34356e486a","6599 5530 6054 5943",40863
e6441264-404d-4460-830e-9d3fa826ed89,"6675 1151 9144 7795",28541
e6691fdc-21bc-4732-929d-5b45c703d5e8,"2238 8991 9473 1627",31582
c5d8e6c6-429c-4449-add4-b9d855b2dc7f,"5461 6117 8269 7888",27471
e9cd2896-2ac1-4313-b748-c6a30c72cd90,"5319 3551 8111 6465",37823
"8ca77e61-0f23-4048-a991-6195417cb8a8","3315 3413 4954 1176",31772
ec87b66c-46e9-4ee1-bb9a-b687a06bbc24,"3271 5332 3093 6504",11838
f7c6c999-bc91-4aea-b381-3c619f020dfa,"3507 6669 2613 4202",40433
ffe37509-e780-4340-9e73-ba7e808c697c,"8481 6366 6604 5635",44108
ff412583-b2aa-4cc8-b9a2-dca985f8f7e7,"6865 3806 7479 7914",29392
"99408cbc-57b5-44ed-a287-ee0494612fc2","2439 8694 2836 6328",36833
dfa36cef-d1b4-474e-b472-bf1a0163d2b8,"9190 9791 7323 1669",38981
c3662189-8619-4329-9d33-deadc6b3f5b2,"1101 7002 9406 4080",37063
"771e435b-1ae0-41fe-848f-cf5e5bb5e7fe","6498 6084 5440 9994",31717
"75fb2aea-b98e-492b-bd5b-060821b04376","1766 1688 2780 9164",10203
"83048888-6061-4444-a8b7-3f23f8163c19","5394 1453 7491 2050",35762
e5190108-87c7-4599-9f42-76b6ba453970,"2839 6717 6386 8685",17882
bf84e3e9-c544-43f9-92cf-c58a523ff873,"4111 4148 3751 1158",30656
"9433c051-24be-4212-bcf4-d1e056ed739c","6020 3014 7684 9962",33011
baba5aa2-a620-4b7e-a772-398026af6177,"8695 3276 9006 3330",14535
fc317fed-8b17-4a71-97c4-aca6f9ad0bc1,"9959 4371 3546 6173",21475
e803276a-edb3-47e8-bf79-26b0318f3a94,"1971 1482 3030 7040",35441
ec70b16e-05b7-41a3-87a0-5260e16d0133,"6604 8412 2252 8214",20400
d0a40200-659b-44b2-b7d2-0c56f8068958,"5541 5518 3540 3869",38633
ff224f11-505b-49f2-8f74-1077eeac0b0e,"6560 2890 8621 3977",49006
f46bf08c-ec35-4c52-8d7d-1eb369c3fed4,"8862 2752 8976 4168",17387
f96a11e7-dc0f-4182-9722-b6525452c84d,"6717 2641 6198 9424",26138
"7116ca20-7720-475b-9b51-9a888672e9ad","9128 7627 2420 9545",11051
de83c1a9-f411-4eaa-8c5f-ff15a43d3d44,"6238 3839 3305 7642",27699
c0e7f847-7be8-4732-8cee-d4b548018d1a,"4644 2440 1288 8177",32793
b30bdf69-c889-4715-9994-d6fac6672ad8,"3703 9087 9401 7849",15957
ca6bb02c-908e-44dd-a4a2-cde845265c41,"2407 4746 1186 9742",49559
cba108ac-4250-4cda-8e75-c32c8e560922,"1105 9893 4386 8803",21295
d5b7eb15-f9c3-4ea3-86e1-bb05ed405ed5,"1330 1061 7159 8508",46064
b75058e0-fa62-4ae5-ade7-efd33371d8af,"3638 7358 3668 8813",26095
"58cc2274-0308-44cd-8378-524a9dd63c84","8907 1363 1196 2338",24165
a08fc684-0bf8-4ba9-a6fe-ab1097f2d841,"5498 2444 7105 2678",43106
"66640541-afe1-4f6c-b143-8e0e50ef7751","6190 2891 5328 7667",14532
d7c676d1-abef-4aab-a419-228767612048,"6906 4216 6365 9041",23307
fdc79a5c-a97e-4a26-bbba-1c13e7faff1d,"8523 2901 5726 8823",30091
e598458a-afe3-4d32-919d-5c0cbdfab7b3,"5299 9578 3190 8320",32254
d5ff003e-b516-47c7-917e-1f1359e2caaf,"7713 2546 1339 9678",35901
fab0b022-a9ca-4cd5-bf60-ceb201f0bc11,"9790 4411 7005 6050",13338
b87f6dce-8eb7-4a38-b7c3-a367007493bd,"6237 1013 6698 1770",18984
fdacc543-19c2-4d86-a5d6-209775bea9fd,"9731 5349 5602 6671",19550
f7d44157-cc07-42ce-b9d8-5561cde1f7f0,"1628 9337 7294 7362",27578
b4e8906b-ebcb-467d-8c0c-4e4adc13fcb1,"3780 2471 7382 3604",25928
f2b01aca-c04e-4d88-b314-f903cd19e903,"1418 2471 6089 5943",48719
a69c8fea-4efb-4515-adf1-1458851aed99,"8633 5379 8576 2971",37122
cfedb75f-c9e2-43f8-ac52-22447322606f,"7505 1087 8791 8758",34827
e0dcfde6-c637-40fd-98a0-e70b42c6106d,"9229 1028 2759 1509",22498
"92134f58-42e5-44b6-b05b-c2da75ff4699","3196 5488 5076 8663",18847
c4866afa-4fc4-4d4e-ac18-f4c9d79812ed,"5297 2772 9750 7828",39442
ebf7deb0-9c49-4f75-aa1e-3a9217e82942,"7125 8173 9174 1674",34773
aba167d7-e061-4417-ac40-a31586826457,"5759 9190 2793 6393",10464
f8b6e0ee-a3dc-4441-a0c6-5dca059814b7,"2222 5158 7234 5303",31872
f3025e4a-f387-434c-b110-9a759a935481,"7376 4583 4566 3679",22156
ba09f23c-c422-4d2b-89ff-a83fa46394bc,"2389 2927 8893 4315",15702
c2e2cd8c-5a25-4da2-8956-f0b1258f963d,"4078 7145 7946 4611",23355
fb153261-4465-4061-812e-12ce010b8223,"8525 4305 3450 1018",39928
de71127d-85e0-4c02-a254-ca88b52d6d98,"3673 4503 3820 1351",19645
"96213005-e3ac-4aad-a6f2-a9ea225b9875","7038 8523 8040 3821",32978
d7e73a82-0135-4e38-82a3-7707142db7b8,"8838 7889 4006 2041",25119
fc526c07-a8dc-417f-a160-8e9431603f6f,"2127 3101 1253 2751",47272
d72c0159-9f77-4544-8250-41a086e85b3b,"8802 6816 2723 6668",18205
f94ad274-bf31-4256-8cbf-01b77cc2162d,"9017 7367 9796 9319",41597
ec2e47b7-afd0-4e1d-b45a-eba22b18cfc9,"3754 3171 7701 4816",41280
